Available Now	Nyní k dispozici
Detailed Cust. Ledg. Entry	Detailní položka zákazníka
Detailed Vendor Ledg. Entry	Detailní položka dodavatele
VAT Registration No. Format	Formát DIÈ
CV Ledger Entry Buffer	Zásobník položek zákazníka/dodavatele
Detailed CV Ledg. Entry Buffer	Zásobník detailní položky zák./dodav.
Reconcile CV Acc Buffer	Zásobník odsouhl. pol. zák./dodav.
Entry No. Amount Buffer	Zásobník èástky pol.è.
Dimension Translation	Pøeklad dimenze
Availability at Date	Dostupnost k datu
XBRL Taxonomy	Taxonomie XBRL
XBRL Taxonomy Line	Øádek taxonomie XBRL
XBRL Comment Line	Øádek poznámky XBRL
XBRL G/L Map Line	Øádek XBRL propojení fin.kon.
XBRL Rollup Line	Øádek souhrnu XBRL
XBRL Schema	Schéma XBRL
XBRL Linkbase	Propojení XBRL
XBRL Taxonomy Label	Popis taxonomie XBRL
Change Log Setup	Nastavení protokolu zmìn
Change Log Setup (Table)	Nastavení protokolu zmìn (tabulka)
Change Log Setup (Field)	Nastavení protokolu zmìn (pole)
Change Log Entry	Položka protokolu zmìn
XBRL Line Constant	Konstanta øádku XBRL
SMTP Mail Setup	Nastavení poštovního protokolu SMTP
IC G/L Account	Mezipod.fin.úètu
IC Dimension	Mezipod.dimenze
IC Dimension Value	Hodnota vnitropodnikové dimenze
IC Partner	Vnitropodnikový partner
IC Outbox Transaction	Transakce vnitropodnikové pošty k odeslání
IC Outbox Jnl. Line	Øádek deníku vnitropodnikové pošty k odeslání
Handled IC Outbox Trans.	Zpracované transakce vnitropodnikové pošty k odeslání
Handled IC Outbox Jnl. Line	Zpracovaný øádek deníku vnitropodnikové pošty k odeslání
IC Inbox Transaction	Tr.vnitrop.dor.pošty
IC Inbox Jnl. Line	Øádek deníku vnitropodnikové doruèené pošty
Handled IC Inbox Trans.	Zpracované transakce vnitropodnikové doruèené pošty
Handled IC Inbox Jnl. Line	Zpracovaný øádek deníku vnitropodnikové doruèené pošty
IC Inbox/Outbox Jnl. Line Dim.	Dimenze øádky deníku vnitropodnikové doruèené pošty/pošty k odeslání
IC Comment Line	Øádek poznámky o vnitropodnikové transakci
IC Outbox Sales Header	Prodejní hlavièka vnitropodnikové pošty k odeslání
IC Outbox Sales Line	Prodejní øádek vnitropodnikové pošty k odeslání
IC Outbox Purchase Header	Nákupní hlavièka vnitropodnikové pošty k odeslání
IC Outbox Purchase Line	Nákupní øádek vnitropodnikové pošty k odeslání
Handled IC Outbox Sales Header	Zpracovaná prodejní hlavièka vnitropodnikové pošty k odeslání
Handled IC Outbox Sales Line	Zpracovaný prodejní øádek vnitropodnikové pošty k odeslání
Handled IC Outbox Purch. Hdr	Zpracovaná nákupní hlavièka vnitropodnikové pošty k odeslání
Handled IC Outbox Purch. Line	Zpracovaný nákupní øádek vnitropodnikové pošty k odeslání
IC Inbox Sales Header	Prodejní hlavièka vnitropodnikové doruèené pošty
IC Inbox Sales Line	Prodejní øádek vnitropodnikové doruèené pošty
IC Inbox Purchase Header	Nákupní hlavièka vnitropodnikové doruèené pošty
IC Inbox Purchase Line	Nákupní øádek vnitropodnikové doruèené pošty
Handled IC Inbox Sales Header	Zpracovaná prodejní hlavièka vnitropodnikové doruèené pošty
Handled IC Inbox Sales Line	Zpracovaný prodejní øádek vnitropodnikové doruèené pošty
Handled IC Inbox Purch. Header	Zpracovaná nákupní hlavièka vnitropodnikové doruèené pošty
Handled IC Inbox Purch. Line	Zpracovaný nákupní øádek vnitropodnikové doruèené pošty
IC Document Dimension	Dimenze vnitropodnikového dokladu
Bar Chart Buffer	Zásobník pruhového grafu
Approval Setup	Nastavení schvalování
Approval Code	Kód schvalování
Approval Entry	Položka schvalování
Approval Comment Line	Øádek poznámky schvalování
Posted Approval Entry	Zaúètovaná položka schvalování
Posted Approval Comment Line	Øádek zaúètované poznámky schvalování
Overdue Notification Entry	Pol. protokolu vypr.platnosti
Sales Prepayment %	Prodejní záloha v %
Purchase Prepayment %	Nákupní záloha v %
Prepayment Inv. Line Buffer	Zásobník øádkù zálohové faktury
Payment Term Translation	Pøeklad platebních podmínek
Shipment Method Translation	Pøeklad zpùsobu dodávky
Approval Templates	Šablony schvalování
Additional Approvers	Další schvalovatelé
Job Queue	Nastavení fronty úloh
Job Queue Category	Proces fronty úloh
Job Queue Entry	Položka fronty úloh
Job Queue Log Entry	Položka protokolu fronty úloh
Dimension Set Entry	Položka sady dimenzí
Dimension Set Tree Node	Uzel stromu sady dimenzí
Reclas. Dimension Set Buffer	Zásobník pøeøazení sady dimenzí
Business Chart Buffer	Zásobník obchodního grafu
Business Chart Map	Mapování obchodních grafù
