Available Now	Nyní k dispozici
Complaint Fulfilment Method	Zpùsob vyøízení reklamace
Complaint Line Source Doc. Log	Historie pùvodního dokladu øádku reklamace
Complaint Comment Line	Øádek poznámky reklamace
Helpdesk Setup	Nastavení helpdesku
User Category	Kategorie uživatele
Request Category 1	Kategorie požadavku 1
Request Category 2	Kategorie požadavku 2
Request Category 3	Kategorie požadavku 3
Request Priority	Priorita požadavku
Entitled Person	Oprávnìná osoba
Solution	Øešení
Helpdesk Request	Helpdesk požadavek
Helpdesk Request Line	Øádek helpdesk požadavku
Request Comment Line	Øádek poznámky požadavku
Central Database Table Setup	Nastavení tabulky centrální databáze
Central Database Field Setup	Nastavení polí centrální databáze
Central Database Receiver	Centrální databáze - pøíjemce
Central Data Change Log Entry	Položka protokolu zmìn centrální databáze
Central Database Setup	Nastavení centrální databáze
Query	Dotaz CD
Signal	Semafor
Central Database T. Relation	Relace tabulky centrální databáze
Central Database F. Relation	Relace polí centrální databáze
Central Database Field Transl.	Pøeklad pole centrální databáze
Central Database Synchronize	Synchronizace centrální databáze
Puller TMP	Puller TMP
Spooler Setup	Nastavení Spooleru
Agent	Agent
Spooler Task	Úloha spooleru
IN Buffer	IN buffer
OUT Buffer	OUT buffer
Destination System	Cílový systém
Spooler Task Destination	Cíl úlohy spooleru
Additional Interaction Param.	Pøídavný parametr komunikace
Archived IN Buffer	Archivovaný IN Buffer
Archived OUT Buffer	Archivovaný OUT Buffer
Electronic Document Entry	Položka elektronického dokladu
OUT Buffer Document	Dokument OUT buffru
Archived OUT Buffer Document	Dokument archivovaného OUT buffru
Spooler Credential	Pøihlašovací údaje spooleru
Spooler Log Entry	Položka protokolu spooleru
Spooler Monitor Line	Øádek monitoru Spooleru
Tool Ledger Entry	Položka evidence nástrojù
Tool Journal Line	Øádek deníku evidence nástrojù
Tool Journal Template	Šablona deníku evidence nástrojù
Tool Journal Batch	List deníku evidence nástrojù
Damage Type	Typ poškození
Tool Entry Type Setup	Nastavení typu položky evidence nástrojù
EDI Setup	Nastavení EDI
EDI Partner	EDI partner
EDI Communication Setup	Nastavení komunikace EDI
EDI Entry	Položka EDI
Detailed EDI Entry	Detailní položka EDI
EDI Table Lock Entry	Položka zámku tabulky EDI
EDI Invoicing Protocol	Protokol EDI fakturace
EDI Order Import	Import EDI Objednávek
EDI Com Setup Check Line	Øádek kontroly nastavení EDI komunikace
Comitance Advice Header	Hlavièka obchodní námitky
Comitance Advice Line	Øádek obchodní námitky
Job Queue Entry Parameter	Parametr položky fronty úloh
Job Queue Extension Setup	Nastavení rozšíøení fronty úloh
Job Queue Action	Akce fronty úloh
Job Queue Entry Action	Akce položky fronty úloh
Work Shift	Pracovní smìna
Shop Calendar	Kalendáø dílny
Shop Calendar Working Days	Kalendáø prac.dnù dílny
Shop Calendar Holiday	Kalendáø volna dílny
Work Center	Pracovní centrum
Work Center Group	Skupina pracovních center
Calendar Entry	Položka kalendáøe
Machine Center	Strojní centrum
Calendar Absence Entry	Položka kalendáøe absence
Stop	Prostoj
Scrap	Zmetky
Routing Header	Hlavièka TNG postupu
Routing Line	Øádek TNG postupu
Manufacturing Setup	Nastavení výroby
Manufacturing Comment Line	Øádek poznámky výroby
Production BOM Header	Hlavièka výrobního kusovníku
Production BOM Line	Øádek výrobního kusovníku
Family	Skupina výrobkù
Family Line	Øádek sk.výrobkù
Routing Comment Line	Øádek poznámky postupu
Production BOM Comment Line	Øádek pozn.výrobního kusovníku
Routing Link	Vazba TNG postupu
Standard Task	Standardní úloha
Production BOM Version	Verze výrobního kusovníku
Capacity Unit of Measure	Mìrná jednotka kapacity
Standard Task Tool	Nástroj standardní úlohy
Standard Task Personnel	Osoba standardní úlohy
Standard Task Description	Popis standardní úlohy
Standard Task Quality Measure	Míra kvality standardní úlohy
Quality Measure	Míra kvality
Routing Version	Verze TNG postupu
Production Matrix BOM Line	Øádek matice výr.kusovníku
Production Matrix  BOM Entry	Položka matice výr.kusovníku
Where-Used Line	Øádek použití
Order Tracking Entry	Položka sledování objednávky
Sales Planning Line	Øádek plánování prodeje
Routing Tool	Nástroj TNG postupu
Routing Personnel	Osoba TNG postupu
Routing Quality Measure	Míra kvality TNG postupu
Planning Component	Plánovaná komponenta
Planning Routing Line	Øádek plánování TNG
Item Availability Line	Øádek zboží k dispozici
Planning Buffer	Zásobník plánování
Registered Absence	Evidovaná absence
Action Message Entry	Položka hlášení akce
Planning Assignment	Pøiøazení plánováním
Production Forecast Name	Název výrobní prognózy
Production Forecast Entry	Položka výrobní prognózy
Inventory Profile	Profil zásob
Inventory Profile Track Buffer	Zásobník sledování profilu zásob
Untracked Planning Element	Nesledovaný prvek plánování
Capacity Constrained Resource	Zdroj s limitovanou kapacitou
Order Promising Setup	Nastavení pøíslibù objednávek
Order Promising Line	Øádek pøíslibu objednávky
TempBlob	Doèasný objekt BLOB
Permission Set	Role uživatele
Permission	Práva
Company	Spoleènost
Access Control	Správa pøístupu k syst.Windows
Send-To Program	Cílový program
Style Sheet	Šablona stylù
User Default Style Sheet	Výchozí šablona stylù uživ.
Record Link	Odkaz na záznam
Client Add-in	Doplnìk klienta
Object Metadata	Metadata objektu
Profile	Profil
User Personalization	Pøizpùsobení uživatelem
Profile Metadata	Metadata profilu
User Metadata	Metadata uživatele
Web Service	Webová služba
Chart	Graf
Object Tracking	Sledování objektu
Page Data Personalization	Pøizpùsobení dat stránky
Debugger Breakpoint	Debugger Breakpoint
Debugger Watch	Debugger Watch
Active Session	Active Session
Session Event	Session Event
Server Instance	Instance serveru
Document Service	Služba pro dokumenty
User	Uživatel
User Property	Vlastnost uživatele
Device	Zaøízení
